,date,distance,id,moves_user_id,steps
0,2017-11-14 00:00:00+00:00,1599,10790,59,2410
1,2017-11-13 00:00:00+00:00,9068,10761,59,12477
2,2017-11-12 00:00:00+00:00,4112,10760,59,6000
3,2017-11-11 00:00:00+00:00,9423,10759,59,8359
4,2017-11-10 00:00:00+00:00,14,10758,59,29
5,2017-11-09 00:00:00+00:00,6127,10757,59,9081
6,2017-11-08 00:00:00+00:00,11360,10756,59,12691
7,2017-11-07 00:00:00+00:00,8801,10728,59,11646
8,2017-11-06 00:00:00+00:00,9049,10727,59,11938
9,2017-11-05 00:00:00+00:00,237,10726,59,459
10,2017-11-04 00:00:00+00:00,10875,10725,59,11172
11,2017-11-03 00:00:00+00:00,13671,10724,59,15581
12,2017-11-02 00:00:00+00:00,12228,10723,59,12295
13,2017-10-19 00:00:00+00:00,8849,10623,59,13002
14,2017-11-01 00:00:00+00:00,6764,10721,59,9577
15,2017-10-31 00:00:00+00:00,6443,10706,59,8709
16,2017-10-30 00:00:00+00:00,8192,10705,59,9359
17,2017-10-29 00:00:00+00:00,5990,10704,59,8642
18,2017-10-28 00:00:00+00:00,5197,10700,59,7207
19,2017-10-27 00:00:00+00:00,3718,10694,59,5329
20,2017-10-26 00:00:00+00:00,8220,10691,59,11587
21,2017-10-25 00:00:00+00:00,6208,10646,59,9194
22,2017-10-24 00:00:00+00:00,6641,10628,59,8939
23,2017-10-23 00:00:00+00:00,4922,10627,59,7473
24,2017-10-22 00:00:00+00:00,4410,10626,59,5584
25,2017-10-21 00:00:00+00:00,8769,10625,59,12522
26,2017-10-20 00:00:00+00:00,13919,10624,59,16812
27,2017-10-18 00:00:00+00:00,12532,10622,59,11107
28,2017-10-17 00:00:00+00:00,5764,10621,59,8610
29,2017-10-16 00:00:00+00:00,12970,10620,59,16053
30,2017-10-15 00:00:00+00:00,6454,10619,59,8987
31,2017-10-14 00:00:00+00:00,9793,10618,59,14222
32,2017-10-13 00:00:00+00:00,3751,10617,59,5270
33,2017-10-12 00:00:00+00:00,6865,10616,59,9608
34,2017-10-11 00:00:00+00:00,9412,10615,59,9910
35,2017-10-10 00:00:00+00:00,9897,10614,59,13930
36,2017-10-09 00:00:00+00:00,6780,10613,59,9791
37,2017-10-08 00:00:00+00:00,4417,10612,59,6368
38,2017-10-07 00:00:00+00:00,5056,10611,59,6324
39,2017-10-06 00:00:00+00:00,11340,10610,59,11369
40,2017-10-05 00:00:00+00:00,3040,10609,59,4182
